detector,alpha,TPR,FPR,Precision,F1,mean_score,std_score,TNR,AUC_TPR,alpha@80%TPR,TPR@alpha=0.5,AUC_ROC
mmd,0.0,0.0,0.0,0.0,0.0,0.0815999972820282,0.06435402226211549,1.0,0.89695,0.15,1.0,0.928909375
mmd,0.02,0.0,1.0,0.0,0.0,0.08799999475479126,0.07008566676015336,1.0,0.89695,0.15,1.0,0.928909375
mmd,0.05,0.09,0.91,0.09,0.09,0.1352999973297119,0.09672078357014449,1.0,0.89695,0.15,1.0,0.928909375
mmd,0.08,0.34,0.66,0.34,0.34,0.21540000140666962,0.1385526606350069,1.0,0.89695,0.15,1.0,0.928909375
mmd,0.1,0.45,0.55,0.45,0.45,0.2855000007152557,0.15746348953242087,1.0,0.89695,0.15,1.0,0.928909375
mmd,0.15,0.9,0.1,0.9,0.9,0.511100003272295,0.1680112778931065,1.0,0.89695,0.15,1.0,0.928909375
mmd,0.2,1.0,0.0,1.0,1.0,0.7269000003114343,0.12450457694759794,1.0,0.89695,0.15,1.0,0.928909375
mmd,0.3,1.0,0.0,1.0,1.0,0.9567000004090369,0.036360830304359236,1.0,0.89695,0.15,1.0,0.928909375
mmd,0.4,1.0,0.0,1.0,1.0,0.9974000000581146,0.005023942562538319,1.0,0.89695,0.15,1.0,0.928909375
mmd,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.89695,0.15,1.0,0.928909375
mmd,0.6,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.89695,0.15,1.0,0.928909375
mmd,0.7,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.89695,0.15,1.0,0.928909375
mmd,0.8,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.89695,0.15,1.0,0.928909375
mmd,0.85,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.89695,0.15,1.0,0.928909375
mmd,0.9,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.89695,0.15,1.0,0.928909375
mmd,0.95,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.89695,0.15,1.0,0.928909375
mmd,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.89695,0.15,1.0,0.928909375
lsdd,0.0,0.0,0.02,0.02,0.02,0.27190001726150514,0.11514073715322659,0.98,0.9665,0.05,1.0,0.9776875
lsdd,0.02,0.06,0.94,0.06,0.06,0.32750001549720764,0.11020321789836025,0.98,0.9665,0.05,1.0,0.9776875
lsdd,0.05,1.0,0.0,1.0,1.0,0.7781000050902367,0.07185673109440835,0.98,0.9665,0.05,1.0,0.9776875
lsdd,0.08,1.0,0.0,1.0,1.0,0.9846000003814698,0.01329811977374002,0.98,0.9665,0.05,1.0,0.9776875
lsdd,0.1,1.0,0.0,1.0,1.0,0.9989000000245869,0.003128897499496093,0.98,0.9665,0.05,1.0,0.9776875
lsdd,0.15,1.0,0.0,1.0,1.0,1.0,0.0,0.98,0.9665,0.05,1.0,0.9776875
lsdd,0.2,1.0,0.0,1.0,1.0,1.0,0.0,0.98,0.9665,0.05,1.0,0.9776875
lsdd,0.3,1.0,0.0,1.0,1.0,1.0,0.0,0.98,0.9665,0.05,1.0,0.9776875
lsdd,0.4,1.0,0.0,1.0,1.0,1.0,0.0,0.98,0.9665,0.05,1.0,0.9776875
lsdd,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.98,0.9665,0.05,1.0,0.9776875
lsdd,0.6,1.0,0.0,1.0,1.0,1.0,0.0,0.98,0.9665,0.05,1.0,0.9776875
lsdd,0.7,1.0,0.0,1.0,1.0,1.0,0.0,0.98,0.9665,0.05,1.0,0.9776875
lsdd,0.8,1.0,0.0,1.0,1.0,1.0,0.0,0.98,0.9665,0.05,1.0,0.9776875
lsdd,0.85,1.0,0.0,1.0,1.0,1.0,0.0,0.98,0.9665,0.05,1.0,0.9776875
lsdd,0.9,1.0,0.0,1.0,1.0,1.0,0.0,0.98,0.9665,0.05,1.0,0.9776875
lsdd,0.95,1.0,0.0,1.0,1.0,1.0,0.0,0.98,0.9665,0.05,1.0,0.9776875
lsdd,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.98,0.9665,0.05,1.0,0.9776875
kl,0.0,0.0,0.16,0.16,0.16,31.970226533594687,3.9139430230916505,0.84,0.9558,0.08,1.0,0.9590062500000001
kl,0.02,0.16,0.84,0.16,0.16,32.60421039251915,3.8363428988288346,0.84,0.9558,0.08,1.0,0.9590062500000001
kl,0.05,0.56,0.44,0.56,0.56,37.31377193999322,4.51877021160426,0.84,0.9558,0.08,1.0,0.9590062500000001
kl,0.08,1.0,0.0,1.0,1.0,48.161092202984825,5.5276551713130315,0.84,0.9558,0.08,1.0,0.9590062500000001
kl,0.1,1.0,0.0,1.0,1.0,59.872209962185345,6.793898129576294,0.84,0.9558,0.08,1.0,0.9590062500000001
kl,0.15,1.0,0.0,1.0,1.0,109.13192812820256,8.83379447836563,0.84,0.9558,0.08,1.0,0.9590062500000001
kl,0.2,1.0,0.0,1.0,1.0,190.67300144560576,11.916597151461405,0.84,0.9558,0.08,1.0,0.9590062500000001
kl,0.3,1.0,0.0,1.0,1.0,464.64931095868417,14.650337152583186,0.84,0.9558,0.08,1.0,0.9590062500000001
kl,0.4,1.0,0.0,1.0,1.0,851.8506643518525,14.360672618686415,0.84,0.9558,0.08,1.0,0.9590062500000001
kl,0.5,1.0,0.0,1.0,1.0,1299.2013630029662,11.862644480318819,0.84,0.9558,0.08,1.0,0.9590062500000001
kl,0.6,1.0,0.0,1.0,1.0,1753.258056493719,12.227881537138842,0.84,0.9558,0.08,1.0,0.9590062500000001
kl,0.7,1.0,0.0,1.0,1.0,2187.3550031432846,11.183485359132472,0.84,0.9558,0.08,1.0,0.9590062500000001
kl,0.8,1.0,0.0,1.0,1.0,2589.1296502407977,10.048644008592543,0.84,0.9558,0.08,1.0,0.9590062500000001
kl,0.85,1.0,0.0,1.0,1.0,2779.596035340009,8.894131163104886,0.84,0.9558,0.08,1.0,0.9590062500000001
kl,0.9,1.0,0.0,1.0,1.0,2964.4616449631667,8.087599813923445,0.84,0.9558,0.08,1.0,0.9590062500000001
kl,0.95,1.0,0.0,1.0,1.0,3142.9977982396085,7.582458467979598,0.84,0.9558,0.08,1.0,0.9590062500000001
kl,1.0,1.0,0.0,1.0,1.0,3316.802684106222,6.8413765049268935,0.84,0.9558,0.08,1.0,0.9590062500000001
embedding,0.0,0.0,0.0,0.0,0.0,284.4108686299642,215.18363130912837,1.0,0.9032,0.15,1.0,0.93246875
embedding,0.02,0.01,0.99,0.01,0.01,298.4379702766803,218.35057232923495,1.0,0.9032,0.15,1.0,0.93246875
embedding,0.05,0.13,0.87,0.13,0.13,460.43611444348176,301.15133000971184,1.0,0.9032,0.15,1.0,0.93246875
embedding,0.08,0.38,0.62,0.38,0.38,722.4027512481604,375.97479732799815,1.0,0.9032,0.15,1.0,0.93246875
embedding,0.1,0.58,0.42,0.58,0.58,911.6485323229833,409.2463836143011,1.0,0.9032,0.15,1.0,0.93246875
embedding,0.15,0.9,0.1,0.9,0.9,1413.7184888018505,438.56630336492213,1.0,0.9032,0.15,1.0,0.93246875
embedding,0.2,0.99,0.01,0.99,0.99,1945.988871940879,465.3866095109522,1.0,0.9032,0.15,1.0,0.93246875
embedding,0.3,1.0,0.0,1.0,1.0,3021.8215694608953,497.487353573071,1.0,0.9032,0.15,1.0,0.93246875
embedding,0.4,1.0,0.0,1.0,1.0,4033.575780817414,520.8038168207094,1.0,0.9032,0.15,1.0,0.93246875
embedding,0.5,1.0,0.0,1.0,1.0,5072.302641883945,544.4409037119794,1.0,0.9032,0.15,1.0,0.93246875
embedding,0.6,1.0,0.0,1.0,1.0,6121.259164970168,542.1482773181749,1.0,0.9032,0.15,1.0,0.93246875
embedding,0.7,1.0,0.0,1.0,1.0,7162.6748750961115,547.7037014850524,1.0,0.9032,0.15,1.0,0.93246875
embedding,0.8,1.0,0.0,1.0,1.0,8167.251729829181,566.6352694553756,1.0,0.9032,0.15,1.0,0.93246875
embedding,0.85,1.0,0.0,1.0,1.0,8683.697125091068,598.2481979239653,1.0,0.9032,0.15,1.0,0.93246875
embedding,0.9,1.0,0.0,1.0,1.0,9207.554216398037,590.5406821659155,1.0,0.9032,0.15,1.0,0.93246875
embedding,0.95,1.0,0.0,1.0,1.0,9731.365549594366,597.9335413739565,1.0,0.9032,0.15,1.0,0.93246875
embedding,1.0,1.0,0.0,1.0,1.0,10237.460406801427,628.4426655543273,1.0,0.9032,0.15,1.0,0.93246875
