domain,detector,FPR,n_fp,CI_low_wilson,CI_high_wilson,p_binomial_vs_0.05,AUC_ROC
adult,mmd,0.0,0,0.0,0.03699349820698569,0.010194711686699946,0.928909375
adult,lsdd,0.02,2,0.00550196755016235,0.07001179072854391,0.24622345980549937,0.9776875
adult,kl,0.16,16,0.1009528848880478,0.24420269389270247,3.705407617758519e-05,0.95900625
adult,embedding,0.0,0,0.0,0.03699349820698569,0.010194711686699946,0.93246875
adult,evidently,0.0,0,0.0,0.03699349820698569,0.010194711686699946,0.875
cifar10c,mmd,0.0,0,0.0,0.03699349820698569,0.010194711686699946,0.9368972222222224
cifar10c,lsdd,0.03,3,0.01025452402403891,0.08451936429052763,0.4918246751011835,0.95315
cifar10c,kl,0.09,9,0.048072540002565146,0.16226212852716312,0.1001707999548038,0.1248555555555555
cifar10c,embedding,0.05,5,0.021543679154367966,0.11175046923191914,1.0,0.0750166666666666
cifar10c,evidently,0.01,1,0.001767432064140647,0.05448619617870533,0.06526950349077118,0.9599277777777776
timeseries,mmd,0.09,9,0.048072540002565146,0.16226212852716312,0.1001707999548038,0.9184892857142858
timeseries,lsdd,0.09,9,0.048072540002565146,0.16226212852716312,0.1001707999548038,0.868
timeseries,kl,0.07,7,0.03431926106727266,0.13749514739073504,0.3522489971702887,0.7189642857142857
timeseries,embedding,0.06,6,0.027786123963188178,0.12476815445895921,0.6418395311598738,0.9995928571428572
timeseries,evidently,0.0,0,0.0,0.03699349820698569,0.010194711686699946,0.8625
text,mmd,0.0,0,0.0,0.03699349820698569,0.010194711686699946,0.7710869565217391
text,lsdd,0.12,12,0.06999406437019488,0.19812099426711421,0.004274182466365919,0.960191304347826
text,kl,0.06,6,0.027786123963188178,0.12476815445895921,0.6418395311598738,0.2968086956521739
text,embedding,0.04,4,0.015663303991547604,0.09837071435887923,0.8199821727295686,0.9552304347826088
text,evidently,0.0,0,0.0,0.03699349820698569,0.010194711686699946,0.6293565217391305
