detector,alpha,TPR,FPR,Precision,F1,mean_score,std_score,TNR,AUC_TPR,alpha@80%TPR,TPR@alpha=0.5,AUC_ROC
mmd,0.0,0.0,0.0,0.0,0.0,0.9294000003300608,0.07121544793864744,1.0,0.0,,0.0,0.9368972222222223
mmd,0.02,0.0,1.0,0.0,0.0,0.9327000002190471,0.06009750426667258,1.0,0.0,,0.0,0.9368972222222223
mmd,0.05,0.0,1.0,0.0,0.0,0.9960000000894069,0.0070710676538147926,1.0,0.0,,0.0,0.9368972222222223
mmd,0.08,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.9368972222222223
mmd,0.1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.9368972222222223
mmd,0.2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.9368972222222223
mmd,0.3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.9368972222222223
mmd,0.4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.9368972222222223
mmd,0.45,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.9368972222222223
mmd,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.9368972222222223
mmd,0.55,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.9368972222222223
mmd,0.6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.9368972222222223
mmd,0.65,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.9368972222222223
mmd,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.9368972222222223
mmd,0.8,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.9368972222222223
mmd,0.85,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.9368972222222223
mmd,0.9,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.9368972222222223
mmd,0.95,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.9368972222222223
mmd,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.9368972222222223
lsdd,0.0,0.0,0.03,0.03,0.03,0.7202000083588064,0.18372794354782923,0.97,0.93495,0.08,1.0,0.9531499999999999
lsdd,0.02,0.0,1.0,0.0,0.0,0.6887000082619488,0.17061450171283224,0.97,0.93495,0.08,1.0,0.9531499999999999
lsdd,0.05,0.09,0.91,0.09,0.09,0.8883000033162535,0.07774387196612756,0.97,0.93495,0.08,1.0,0.9531499999999999
lsdd,0.08,0.89,0.11,0.89,0.89,0.9912000002339483,0.011939848849857037,0.97,0.93495,0.08,1.0,0.9531499999999999
lsdd,0.1,1.0,0.0,1.0,1.0,0.9992000000178813,0.00305941163977249,0.97,0.93495,0.08,1.0,0.9531499999999999
lsdd,0.2,1.0,0.0,1.0,1.0,1.0,0.0,0.97,0.93495,0.08,1.0,0.9531499999999999
lsdd,0.3,1.0,0.0,1.0,1.0,1.0,0.0,0.97,0.93495,0.08,1.0,0.9531499999999999
lsdd,0.4,1.0,0.0,1.0,1.0,1.0,0.0,0.97,0.93495,0.08,1.0,0.9531499999999999
lsdd,0.45,1.0,0.0,1.0,1.0,1.0,0.0,0.97,0.93495,0.08,1.0,0.9531499999999999
lsdd,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.97,0.93495,0.08,1.0,0.9531499999999999
lsdd,0.55,1.0,0.0,1.0,1.0,1.0,0.0,0.97,0.93495,0.08,1.0,0.9531499999999999
lsdd,0.6,1.0,0.0,1.0,1.0,1.0,0.0,0.97,0.93495,0.08,1.0,0.9531499999999999
lsdd,0.65,1.0,0.0,1.0,1.0,1.0,0.0,0.97,0.93495,0.08,1.0,0.9531499999999999
lsdd,0.7,1.0,0.0,1.0,1.0,1.0,0.0,0.97,0.93495,0.08,1.0,0.9531499999999999
lsdd,0.8,1.0,0.0,1.0,1.0,1.0,0.0,0.97,0.93495,0.08,1.0,0.9531499999999999
lsdd,0.85,1.0,0.0,1.0,1.0,1.0,0.0,0.97,0.93495,0.08,1.0,0.9531499999999999
lsdd,0.9,1.0,0.0,1.0,1.0,1.0,0.0,0.97,0.93495,0.08,1.0,0.9531499999999999
lsdd,0.95,1.0,0.0,1.0,1.0,1.0,0.0,0.97,0.93495,0.08,1.0,0.9531499999999999
lsdd,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.97,0.93495,0.08,1.0,0.9531499999999999
kl,0.0,0.0,0.09,0.09,0.09,82.09355048489526,14.101046792723805,0.91,0.015250000000000007,,0.0,0.12485555555555557
kl,0.02,0.04,0.96,0.04,0.04,75.6408946291229,14.351906204905891,0.91,0.015250000000000007,,0.0,0.12485555555555557
kl,0.05,0.0,1.0,0.0,0.0,66.56021138992136,13.483440343676373,0.91,0.015250000000000007,,0.0,0.12485555555555557
kl,0.08,0.0,1.0,0.0,0.0,58.413733252212644,12.53842045419364,0.91,0.015250000000000007,,0.0,0.12485555555555557
kl,0.1,0.0,1.0,0.0,0.0,53.693945588949084,11.848931665221077,0.91,0.015250000000000007,,0.0,0.12485555555555557
kl,0.2,0.0,1.0,0.0,0.0,33.93874914200767,8.516582585559998,0.91,0.015250000000000007,,0.0,0.12485555555555557
kl,0.3,0.0,1.0,0.0,0.0,21.736734794383175,6.406011428945369,0.91,0.015250000000000007,,0.0,0.12485555555555557
kl,0.4,0.0,1.0,0.0,0.0,15.781005617923558,4.046123320881792,0.91,0.015250000000000007,,0.0,0.12485555555555557
kl,0.45,0.0,1.0,0.0,0.0,14.997500292092536,3.7783351655952613,0.91,0.015250000000000007,,0.0,0.12485555555555557
kl,0.5,0.0,1.0,0.0,0.0,15.87633506428478,3.9641879016323234,0.91,0.015250000000000007,,0.0,0.12485555555555557
kl,0.55,0.0,1.0,0.0,0.0,17.197194167650608,4.119370988735926,0.91,0.015250000000000007,,0.0,0.12485555555555557
kl,0.6,0.0,1.0,0.0,0.0,19.711238072210833,4.498184008792651,0.91,0.015250000000000007,,0.0,0.12485555555555557
kl,0.65,0.0,1.0,0.0,0.0,23.793920376084056,5.611519239499531,0.91,0.015250000000000007,,0.0,0.12485555555555557
kl,0.7,0.0,1.0,0.0,0.0,28.74000747992006,6.8882162688031014,0.91,0.015250000000000007,,0.0,0.12485555555555557
kl,0.8,0.0,1.0,0.0,0.0,43.79875050943895,9.172382300772835,0.91,0.015250000000000007,,0.0,0.12485555555555557
kl,0.85,0.0,1.0,0.0,0.0,53.30380891577654,10.310290345995284,0.91,0.015250000000000007,,0.0,0.12485555555555557
kl,0.9,0.0,1.0,0.0,0.0,65.85609648987855,11.347006326838548,0.91,0.015250000000000007,,0.0,0.12485555555555557
kl,0.95,0.09,0.91,0.09,0.09,80.13763479535632,13.158774274928332,0.91,0.015250000000000007,,0.0,0.12485555555555557
kl,1.0,0.39,0.61,0.39,0.39,97.8711141175362,15.521579853479977,0.91,0.015250000000000007,,0.0,0.12485555555555557
embedding,0.0,0.0,0.05,0.05,0.05000000000000001,0.19561215659909423,0.024830531267784322,0.95,0.00025,,0.0,0.07501666666666668
embedding,0.02,0.01,0.99,0.01,0.01,0.1883575733593249,0.02431788639080521,0.95,0.00025,,0.0,0.07501666666666668
embedding,0.05,0.0,1.0,0.0,0.0,0.1776563032195685,0.025135666287341353,0.95,0.00025,,0.0,0.07501666666666668
embedding,0.08,0.0,1.0,0.0,0.0,0.16668770802396962,0.02383457743644956,0.95,0.00025,,0.0,0.07501666666666668
embedding,0.1,0.0,1.0,0.0,0.0,0.16004605718309362,0.02367740678881071,0.95,0.00025,,0.0,0.07501666666666668
embedding,0.2,0.0,1.0,0.0,0.0,0.12447635763561568,0.022417255792860344,0.95,0.00025,,0.0,0.07501666666666668
embedding,0.3,0.0,1.0,0.0,0.0,0.09015144352365198,0.023630859609345776,0.95,0.00025,,0.0,0.07501666666666668
embedding,0.4,0.0,1.0,0.0,0.0,0.052688334983530434,0.02173161414374368,0.95,0.00025,,0.0,0.07501666666666668
embedding,0.45,0.0,1.0,0.0,0.0,0.03431151612420368,0.020902816140467375,0.95,0.00025,,0.0,0.07501666666666668
embedding,0.5,0.0,1.0,0.0,0.0,0.021003292832652464,0.01611148445192815,0.95,0.00025,,0.0,0.07501666666666668
embedding,0.55,0.0,1.0,0.0,0.0,0.016908799470151406,0.012529943500340108,0.95,0.00025,,0.0,0.07501666666666668
embedding,0.6,0.0,1.0,0.0,0.0,0.024285704897888963,0.0158967162483235,0.95,0.00025,,0.0,0.07501666666666668
embedding,0.65,0.0,1.0,0.0,0.0,0.03844936552365013,0.019287577322092252,0.95,0.00025,,0.0,0.07501666666666668
embedding,0.7,0.0,1.0,0.0,0.0,0.05682200502507552,0.02084518128914119,0.95,0.00025,,0.0,0.07501666666666668
embedding,0.8,0.0,1.0,0.0,0.0,0.09263323968774184,0.020179613750531393,0.95,0.00025,,0.0,0.07501666666666668
embedding,0.85,0.0,1.0,0.0,0.0,0.11091833153705384,0.019555589839005065,0.95,0.00025,,0.0,0.07501666666666668
embedding,0.9,0.0,1.0,0.0,0.0,0.12822417376977185,0.019823469230601687,0.95,0.00025,,0.0,0.07501666666666668
embedding,0.95,0.0,1.0,0.0,0.0,0.14535084308050158,0.019209511082826182,0.95,0.00025,,0.0,0.07501666666666668
embedding,1.0,0.0,1.0,0.0,0.0,0.1632922875496071,0.019282968893969788,0.95,0.00025,,0.0,0.07501666666666668
evidently,0.0,0.0,0.01,0.01,0.01,0.08960000000000001,0.034696397507522306,0.99,0.93325,0.1,1.0,0.9599277777777777
evidently,0.02,0.02,0.98,0.02,0.02,0.088,0.038574603043971825,0.99,0.93325,0.1,1.0,0.9599277777777777
evidently,0.05,0.14,0.86,0.14,0.14,0.1316,0.033607142098071946,0.99,0.93325,0.1,1.0,0.9599277777777777
evidently,0.08,0.79,0.21,0.79,0.79,0.2014,0.03546885958132852,0.99,0.93325,0.1,1.0,0.9599277777777777
evidently,0.1,0.98,0.02,0.98,0.98,0.25620000000000004,0.038646603990519016,0.99,0.93325,0.1,1.0,0.9599277777777777
evidently,0.2,1.0,0.0,1.0,1.0,0.4796000000000001,0.040396039409823344,0.99,0.93325,0.1,1.0,0.9599277777777777
evidently,0.3,1.0,0.0,1.0,1.0,0.6636000000000002,0.03128961489056712,0.99,0.93325,0.1,1.0,0.9599277777777777
evidently,0.4,1.0,0.0,1.0,1.0,0.7607999999999998,0.02528556900684659,0.99,0.93325,0.1,1.0,0.9599277777777777
evidently,0.45,1.0,0.0,1.0,1.0,0.7912,0.022859571299567265,0.99,0.93325,0.1,1.0,0.9599277777777777
evidently,0.5,1.0,0.0,1.0,1.0,0.8187999999999996,0.019762590923256974,0.99,0.93325,0.1,1.0,0.9599277777777777
evidently,0.55,1.0,0.0,1.0,1.0,0.8339999999999997,0.015874507866387548,0.99,0.93325,0.1,1.0,0.9599277777777777
evidently,0.6,1.0,0.0,1.0,1.0,0.8480000000000001,0.018547236990991416,0.99,0.93325,0.1,1.0,0.9599277777777777
evidently,0.65,1.0,0.0,1.0,1.0,0.8622,0.019777765293379348,0.99,0.93325,0.1,1.0,0.9599277777777777
evidently,0.7,1.0,0.0,1.0,1.0,0.8804000000000002,0.02172187837181676,0.99,0.93325,0.1,1.0,0.9599277777777777
evidently,0.8,1.0,0.0,1.0,1.0,0.9154000000000001,0.020948508300115295,0.99,0.93325,0.1,1.0,0.9599277777777777
evidently,0.85,1.0,0.0,1.0,1.0,0.9309999999999999,0.018193405398660222,0.99,0.93325,0.1,1.0,0.9599277777777777
evidently,0.9,1.0,0.0,1.0,1.0,0.9471999999999998,0.014565713164826487,0.99,0.93325,0.1,1.0,0.9599277777777777
evidently,0.95,1.0,0.0,1.0,1.0,0.9545999999999997,0.011612062693595831,0.99,0.93325,0.1,1.0,0.9599277777777777
evidently,1.0,1.0,0.0,1.0,1.0,0.9603999999999998,0.009372299611087993,0.99,0.93325,0.1,1.0,0.9599277777777777
