detector,alpha,TPR,FPR,Precision,F1,mean_score,std_score,TNR,AUC_TPR,alpha@80%TPR,TPR@alpha=0.5,AUC_ROC
mmd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.005,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.01,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.015,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.02,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.03,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.04,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.05,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.08,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.12,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.15,0.47,0.53,0.47,0.47,0.020799995064735413,0.04453493113661512,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.2,1.0,0.0,1.0,1.0,0.9098000006005168,0.10283948600632058,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.4,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.6,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.7,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.8,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.85,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.88,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.9,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,0.95,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
mmd,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8438,0.2,1.0,0.7710869565217391
lsdd,0.0,0.0,0.12,0.12,0.12,0.06940001472830773,0.15597320179379748,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.005,0.22,0.78,0.22,0.22,0.1280000151693821,0.21796788585997515,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.01,0.4,0.6,0.4,0.4000000000000001,0.22280001712962985,0.27538728722116823,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.015,0.65,0.35,0.65,0.65,0.3806000138819218,0.31313836514201715,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.02,0.85,0.15,0.85,0.85,0.5412000109255314,0.31540221215834646,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.03,0.99,0.01,0.99,0.99,0.8403000036627054,0.1858249406061713,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.04,1.0,0.0,1.0,1.0,0.959500001128763,0.07368004886217326,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.05,1.0,0.0,1.0,1.0,0.9919000002369285,0.01764624553260814,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.08,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.1,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.12,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.15,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.2,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.3,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.4,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.6,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.7,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.8,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.85,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.88,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.9,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,0.95,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.987625,0.02,1.0,0.9601913043478261
lsdd,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.987625,0.02,1.0,0.9601913043478261
kl,0.0,0.0,0.06,0.06,0.06,74.42054875303897,18.85881439245753,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.005,0.05,0.95,0.05,0.05000000000000001,73.17854697401518,18.75649437175492,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.01,0.05,0.95,0.05,0.05000000000000001,72.11286905068717,18.98915118658149,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.015,0.03,0.97,0.03,0.03,70.99329841259745,18.95452258148713,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.02,0.03,0.97,0.03,0.03,69.71280716593832,18.504473537645246,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.03,0.02,0.98,0.02,0.02,66.34373616047664,18.244540829892284,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.04,0.02,0.98,0.02,0.02,63.48578887179627,18.095443529917265,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.05,0.01,0.99,0.01,0.01,61.52042589304541,18.164599007295124,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.08,0.0,1.0,0.0,0.0,55.20386221402882,16.526533351587613,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.1,0.0,1.0,0.0,0.0,50.448023976313216,15.098801651381587,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.12,0.0,1.0,0.0,0.0,47.11931859254494,14.872108278228652,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.15,0.0,1.0,0.0,0.0,41.65997298051076,13.982428144558565,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.2,0.0,1.0,0.0,0.0,35.54946110159927,12.009194030092944,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.3,0.0,1.0,0.0,0.0,26.601937233556054,8.658843666029275,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.4,0.0,1.0,0.0,0.0,23.704161212097883,6.499476546783641,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.5,0.0,1.0,0.0,0.0,25.22995082267441,5.487635869804836,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.6,0.0,1.0,0.0,0.0,30.823728413658625,6.035829131920473,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.7,0.0,1.0,0.0,0.0,40.41537771855179,7.3562065044186,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.8,0.0,1.0,0.0,0.0,56.163278039021804,12.916857271952024,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.85,0.0,1.0,0.0,0.0,66.06851916979524,13.724380918524524,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.88,0.04,0.96,0.04,0.04,73.47901585878924,14.627399397280652,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.9,0.09,0.91,0.09,0.09,79.16608517849166,15.737457396150646,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,0.95,0.25,0.75,0.25,0.25,92.84920005589356,16.578460647434422,0.94,0.03337500000000001,,0.0,0.29680869565217394
kl,1.0,0.61,0.39,0.61,0.61,108.78731770949928,18.113000358756878,0.94,0.03337500000000001,,0.0,0.29680869565217394
embedding,0.0,0.0,0.04,0.04,0.04,0.0014679112953502082,0.0010684208653856488,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.005,0.07,0.93,0.07,0.07,0.0017049752055729294,0.0013254455126235454,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.01,0.23,0.77,0.23,0.23,0.0024365771330035657,0.001631715847021973,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.015,0.43,0.57,0.43,0.42999999999999994,0.0034733310487603396,0.0017658638328984949,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.02,0.65,0.35,0.65,0.65,0.004573963973079882,0.0017887531962861706,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.03,0.97,0.03,0.97,0.97,0.006819797098704308,0.00177900982033498,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.04,1.0,0.0,1.0,1.0,0.00907575293333415,0.0017431047176650859,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.05,1.0,0.0,1.0,1.0,0.011307342529644266,0.0017418012404345985,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.08,1.0,0.0,1.0,1.0,0.017912783776099468,0.0017276215097140391,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.1,1.0,0.0,1.0,1.0,0.022488416956308866,0.0017141279455529165,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.12,1.0,0.0,1.0,1.0,0.026939053283820923,0.0016850894341158917,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.15,1.0,0.0,1.0,1.0,0.033601388436673825,0.001702588596606785,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.2,1.0,0.0,1.0,1.0,0.04470190050795811,0.0015962756807242748,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.3,1.0,0.0,1.0,1.0,0.06700258669289527,0.0016588194007872217,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.4,1.0,0.0,1.0,1.0,0.0892294067986122,0.0016280731253085156,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.5,1.0,0.0,1.0,1.0,0.11168150238390216,0.001516915771992044,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.6,1.0,0.0,1.0,1.0,0.1338604810328044,0.001575421589878354,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.7,1.0,0.0,1.0,1.0,0.15620864889828912,0.0015364590250979808,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.8,1.0,0.0,1.0,1.0,0.1786496777838412,0.0015276660707567848,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.85,1.0,0.0,1.0,1.0,0.1896440627624984,0.0015648773103243687,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.88,1.0,0.0,1.0,1.0,0.19639378184892745,0.0015068912897149014,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.9,1.0,0.0,1.0,1.0,0.20090694036439966,0.0014932977259899268,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,0.95,1.0,0.0,1.0,1.0,0.21197648626409482,0.0014056894149038833,0.96,0.983225,0.03,1.0,0.9552304347826088
embedding,1.0,1.0,0.0,1.0,1.0,0.22318319041961743,0.0014274587286099954,0.96,0.983225,0.03,1.0,0.9552304347826088
evidently,0.0,0.0,0.0,0.0,0.0,0.0018,0.005723635208501673,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.005,0.02,0.98,0.02,0.02,0.005600000000000001,0.009830564581955607,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.01,0.03,0.97,0.03,0.03,0.0082,0.010989085494252924,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.015,0.02,0.98,0.02,0.02,0.009000000000000001,0.010723805294763609,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.02,0.0,1.0,0.0,0.0,0.009200000000000002,0.009967948635501689,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.03,0.01,0.99,0.01,0.01,0.009000000000000001,0.0103440804327886,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.04,0.0,1.0,0.0,0.0,0.0078000000000000005,0.009754998718605759,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.05,0.0,1.0,0.0,0.0,0.0044,0.00828492607088319,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.08,0.0,1.0,0.0,0.0,0.0012,0.0047497368348151684,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.1,0.0,1.0,0.0,0.0,0.0008,0.003919183588453085,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.12,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.15,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.7,0.0,1.0,0.0,0.0,0.0018,0.005723635208501673,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.8,0.0,1.0,0.0,0.0,0.009800000000000001,0.00999799979995999,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.85,0.11,0.89,0.11,0.11,0.0172,0.011668761716651857,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.88,0.26,0.74,0.26,0.26,0.022600000000000002,0.01221638244326036,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.9,0.37,0.63,0.37,0.37,0.0258,0.01209793370786929,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,0.95,0.77,0.23,0.77,0.7699999999999999,0.035199999999999995,0.008997777503361596,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
evidently,1.0,0.97,0.03,0.97,0.97,0.0394,0.0034117444218463968,1.0,0.08705000000000002,1.0,0.0,0.6293565217391305
