detector,alpha,TPR,FPR,Precision,F1,mean_score,std_score,TNR,AUC_TPR,alpha@80%TPR,TPR@alpha=0.5,AUC_ROC
mmd,0.0,0.0,0.09,0.09,0.09,0.18759999841451644,0.18783035173234097,0.91,0.88185,0.2,1.0,0.9184892857142858
mmd,0.02,0.08,0.92,0.08,0.08,0.19899999782443045,0.17979710987689423,0.91,0.88185,0.2,1.0,0.9184892857142858
mmd,0.05,0.1,0.9,0.1,0.10000000000000002,0.2467000013589859,0.1722617482911717,0.91,0.88185,0.2,1.0,0.9184892857142858
mmd,0.08,0.21,0.79,0.21,0.20999999999999996,0.37010000213980676,0.1660270740639161,0.91,0.88185,0.2,1.0,0.9184892857142858
mmd,0.1,0.36,0.64,0.36,0.36,0.4729000009596348,0.1519756223257141,0.91,0.88185,0.2,1.0,0.9184892857142858
mmd,0.2,1.0,0.0,1.0,1.0,0.9004999998025596,0.04080134855896774,0.91,0.88185,0.2,1.0,0.9184892857142858
mmd,0.3,1.0,0.0,1.0,1.0,0.994600000102073,0.00805232877886302,0.91,0.88185,0.2,1.0,0.9184892857142858
mmd,0.4,1.0,0.0,1.0,1.0,1.0,0.0,0.91,0.88185,0.2,1.0,0.9184892857142858
mmd,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.91,0.88185,0.2,1.0,0.9184892857142858
mmd,0.6,1.0,0.0,1.0,1.0,1.0,0.0,0.91,0.88185,0.2,1.0,0.9184892857142858
mmd,0.7,1.0,0.0,1.0,1.0,1.0,0.0,0.91,0.88185,0.2,1.0,0.9184892857142858
mmd,0.8,1.0,0.0,1.0,1.0,1.0,0.0,0.91,0.88185,0.2,1.0,0.9184892857142858
mmd,0.9,1.0,0.0,1.0,1.0,1.0,0.0,0.91,0.88185,0.2,1.0,0.9184892857142858
mmd,0.95,1.0,0.0,1.0,1.0,1.0,0.0,0.91,0.88185,0.2,1.0,0.9184892857142858
mmd,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.91,0.88185,0.2,1.0,0.9184892857142858
lsdd,0.0,0.0,0.09,0.09,0.09,0.2035000179708004,0.18683347864138164,0.91,0.8241,0.3,1.0,0.868
lsdd,0.02,0.09,0.91,0.09,0.09,0.19920001819729805,0.17586176064265635,0.91,0.8241,0.3,1.0,0.868
lsdd,0.05,0.09,0.91,0.09,0.09,0.2041000184416771,0.16723094559190765,0.91,0.8241,0.3,1.0,0.868
lsdd,0.08,0.11,0.89,0.11,0.11,0.23240001678466796,0.1709158825729535,0.91,0.8241,0.3,1.0,0.868
lsdd,0.1,0.09,0.91,0.09,0.09,0.26740001887083054,0.17185237222150557,0.91,0.8241,0.3,1.0,0.868
lsdd,0.2,0.61,0.39,0.61,0.61,0.5430000092834234,0.12611502504140182,0.91,0.8241,0.3,1.0,0.868
lsdd,0.3,1.0,0.0,1.0,1.0,0.8389000044390559,0.07169232610742507,0.91,0.8241,0.3,1.0,0.868
lsdd,0.4,1.0,0.0,1.0,1.0,0.9685000008158385,0.025313039381923762,0.91,0.8241,0.3,1.0,0.868
lsdd,0.5,1.0,0.0,1.0,1.0,0.9958000000938774,0.007236020844312545,0.91,0.8241,0.3,1.0,0.868
lsdd,0.6,1.0,0.0,1.0,1.0,0.9995000000111759,0.0021794494230558447,0.91,0.8241,0.3,1.0,0.868
lsdd,0.7,1.0,0.0,1.0,1.0,0.9999000000022352,0.0009949874148669174,0.91,0.8241,0.3,1.0,0.868
lsdd,0.8,1.0,0.0,1.0,1.0,1.0,0.0,0.91,0.8241,0.3,1.0,0.868
lsdd,0.9,1.0,0.0,1.0,1.0,1.0,0.0,0.91,0.8241,0.3,1.0,0.868
lsdd,0.95,1.0,0.0,1.0,1.0,1.0,0.0,0.91,0.8241,0.3,1.0,0.868
lsdd,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.91,0.8241,0.3,1.0,0.868
kl,0.0,0.0,0.07,0.07,0.07,109.23408075978224,20.35082785192139,0.9299999999999999,0.72705,0.4,1.0,0.7189642857142857
kl,0.02,0.03,0.97,0.03,0.03,102.28087191023849,18.977892267085842,0.9299999999999999,0.72705,0.4,1.0,0.7189642857142857
kl,0.05,0.01,0.99,0.01,0.01,91.29060546498575,17.075036251128886,0.9299999999999999,0.72705,0.4,1.0,0.7189642857142857
kl,0.08,0.0,1.0,0.0,0.0,82.79767909720218,16.05124707204083,0.9299999999999999,0.72705,0.4,1.0,0.7189642857142857
kl,0.1,0.0,1.0,0.0,0.0,77.53918548745978,16.242140456903968,0.9299999999999999,0.72705,0.4,1.0,0.7189642857142857
kl,0.2,0.0,1.0,0.0,0.0,86.8244222305249,18.731671018210886,0.9299999999999999,0.72705,0.4,1.0,0.7189642857142857
kl,0.3,0.76,0.24,0.76,0.76,166.6677991106102,26.728294678940447,0.9299999999999999,0.72705,0.4,1.0,0.7189642857142857
